Name,Annual_Avg_Pay_2008-2012,Annual_Avg_Pay_2013-2018,Annual_Avg_Pay_Variance,New HIV Case Rate 2008-2012,New HIV Case Rate 2013-2018,New HIV Case Rate Variance
Alabama,40324.2,44679.833333333336,4355.633333333339,14.385351027000294,13.219613392788027,1.165737634212268
Alaska,48227.0,53787.666666666664,5560.666666666664,4.147444256640418,3.996430676115678,0.15101358052474162
Arizona,43764.6,48551.166666666664,4786.566666666666,9.750056520464213,10.556607024172703,-0.8065505037084891
Arkansas,36474.2,41381.833333333336,4907.633333333339,8.503143129800662,9.644722066269695,-1.1415789364690347
California,53627.0,62525.0,8898.0,14.223002768454974,12.548216456095492,1.6747863123594822
Colorado,48197.6,54716.333333333336,6518.733333333337,7.839842056666372,7.100390316646222,0.7394517400201517
Connecticut,59772.2,65342.333333333336,5570.133333333339,9.610172891619552,7.8219537543467474,1.7882191372728038
Delaware,49248.2,54275.0,5026.800000000003,15.067524914813962,11.57904470067941,3.488480214134549
District of Columbia,79702.6,89170.66666666667,9468.066666666666,128.54493544159118,52.81388665849494,75.73104878309624
Florida,41728.6,46716.0,4987.4000000000015,25.878696643254013,22.262966772945386,3.6157298703086176
Georgia,44148.6,50135.0,5986.4000000000015,28.87723961483257,24.332116278036644,4.545123336795939
Hawaii,41914.0,47466.666666666664,5552.666666666664,6.383996207788847,6.283128605561192,0.10086760222765434
Idaho,34939.8,39589.833333333336,4650.033333333333,2.722348854145841,2.1522701224108003,0.570078731735041
Illinois,49921.6,56174.0,6252.4000000000015,13.185447887730335,11.498978376920904,1.6864695108094288
Indiana,39483.4,44414.666666666664,4931.266666666663,7.30166099988608,7.74650049386018,-0.4448394939741008
Iowa,38363.0,44372.5,6009.5,3.6729847689921997,3.79243360170614,-0.11944883271393952
Kansas,39275.0,44001.166666666664,4726.166666666664,5.002553641640111,4.887018715426613,0.11553492621349586
Kentucky,38849.4,43611.0,4761.5999999999985,7.831486248147329,7.899193207065651,-0.06770695891832187
Louisiana,41619.2,45918.333333333336,4299.133333333339,24.58555587965221,23.38044226023274,1.2051136194194743
Maine,37379.6,42231.5,4851.9000000000015,3.8383267052165584,3.117107786278688,0.7212189189378714
Maryland,51779.2,57579.5,5800.300000000003,28.39232829592084,18.969692662800824,9.422635633120017
Massachusetts,58270.4,67092.0,8821.599999999999,10.731295599503463,9.302570496524387,1.4287251029790753
Michigan,44975.4,50485.666666666664,5510.266666666663,7.875873023427249,7.5316760359700945,0.3441969874571534
Minnesota,47027.8,53948.166666666664,6920.366666666661,6.230111328214381,5.344912802629503,0.8851985255848777
Mississippi,34509.8,37983.666666666664,3473.8666666666613,16.404745639613484,15.514696411652162,0.8900492279613231
Missouri,41043.6,45904.666666666664,4861.066666666666,8.979092799547722,7.82251714710585,1.1565756524418702
Montana,34909.8,40446.166666666664,5536.366666666661,2.3241536742546645,2.053785507371904,0.2703681668827607
Nebraska,37549.6,43119.0,5569.4000000000015,5.271988662448615,4.296455608229013,0.975533054219602
Nevada,43001.6,46644.333333333336,3642.733333333337,13.828900540733937,16.369515658734272,-2.5406151180003365
New Hampshire,46270.8,53027.333333333336,6756.533333333333,3.306304120049586,2.6115995640541594,0.694704555995427
New Jersey,56604.0,62495.833333333336,5891.833333333336,15.085372244873776,13.178995964268374,1.9063762806054017
New Mexico,39286.6,42765.0,3478.4000000000015,6.95476469402183,6.455609570045977,0.4991551239758545
New York,60555.8,68002.0,7446.199999999997,20.604777021923443,14.992592188742433,5.612184833181006
North Carolina,41186.8,47040.5,5853.699999999997,15.482586929965574,12.871436956183233,2.6111499737823407
North Dakota,39372.0,50145.333333333336,10773.333333333336,1.8658250674608483,3.957188010766824,-2.0913629433059753
Ohio,42137.6,47540.5,5402.9000000000015,8.915273980074256,8.369477229563023,0.5457967505112333
Oklahoma,38900.0,44381.666666666664,5481.666666666664,7.8020617899329725,7.5822301781823125,0.21983161175066104
Oregon,42056.0,48920.166666666664,6864.166666666664,6.679957355232006,5.54932712318494,1.1306302320470671
Pennsylvania,46075.0,52319.833333333336,6244.833333333336,12.14011049202492,8.971913499426405,3.1681969925985114
Rhode Island,44706.8,50951.5,6244.699999999997,10.150187878103438,7.273976206999465,2.8762116711039725
South Carolina,37655.4,42396.333333333336,4740.933333333334,15.887214549216438,14.606855826340956,1.2803587228754805
South Dakota,34490.4,40566.666666666664,6076.266666666663,3.1156230924645514,3.7765548280932655,-0.6609317356287141
Tennessee,41645.0,47118.0,5473.0,14.122623901252252,11.238041610550358,2.8845822907018905
Texas,47579.4,54429.166666666664,6849.766666666663,17.127316452506182,16.088753783246347,1.0385626692598386
Utah,39512.6,44899.166666666664,5386.566666666666,4.1078206392661185,3.9857042489176293,0.1221163903484908
Vermont,39560.0,44693.0,5133.0,2.6539140633779987,2.3203870639961033,0.3335269993818956
Virginia,49486.8,54783.5,5296.699999999997,12.171453048131902,10.81542680672216,1.3560262414097437
Washington,48954.6,58651.833333333336,9697.233333333337,7.609182402691764,6.206431069623967,1.4027513330677963
West Virginia,37875.6,42388.833333333336,4513.233333333337,4.278614085653688,4.1659285354519335,0.11268555020175505
Wisconsin,40237.0,45681.5,5444.5,4.310231536932826,3.9950875945013697,0.31514394243145666
Wyoming,42426.6,46178.833333333336,3752.233333333337,3.001826491019419,2.461266659334723,0.5405598316846957
