Name,New HIV Case Rate 2008-2012,New HIV Case Rate 2013-2018,New HIV Case Rate Variance
Alabama,14.385351027000295,13.219613392788027,1.165737634212268
Alaska,4.147444256640419,3.996430676115678,0.15101358052474162
Arizona,9.750056520464213,10.556607024172703,-0.8065505037084891
Arkansas,8.503143129800662,9.644722066269697,-1.141578936469035
California,14.223002768454975,12.548216456095492,1.6747863123594822
Colorado,7.839842056666373,7.100390316646221,0.7394517400201517
Connecticut,9.61017289161955,7.821953754346747,1.7882191372728038
Delaware,15.067524914813959,11.57904470067941,3.4884802141345492
District of Columbia,128.54493544159118,52.81388665849494,75.73104878309623
Florida,25.878696643254006,22.262966772945386,3.6157298703086176
Georgia,28.877239614832575,24.332116278036636,4.545123336795938
Hawaii,6.383996207788847,6.283128605561193,0.10086760222765434
Idaho,2.722348854145841,2.1522701224108,0.570078731735041
Illinois,13.185447887730334,11.498978376920904,1.6864695108094288
Indiana,7.30166099988608,7.7465004938601805,-0.44483949397410083
Iowa,3.6729847689922,3.7924336017061395,-0.11944883271393952
Kansas,5.00255364164011,4.887018715426613,0.11553492621349586
Kentucky,7.831486248147329,7.899193207065651,-0.06770695891832187
Louisiana,24.585555879652215,23.38044226023274,1.205113619419474
Maine,3.838326705216559,3.1171077862786873,0.7212189189378714
Maryland,28.39232829592084,18.969692662800824,9.422635633120018
Massachusetts,10.731295599503465,9.302570496524389,1.4287251029790753
Michigan,7.875873023427249,7.531676035970095,0.3441969874571534
Minnesota,6.230111328214381,5.344912802629503,0.8851985255848777
Mississippi,16.404745639613484,15.514696411652162,0.8900492279613231
Missouri,8.97909279954772,7.82251714710585,1.15657565244187
Montana,2.3241536742546645,2.053785507371904,0.2703681668827607
Nebraska,5.271988662448615,4.296455608229013,0.9755330542196021
Nevada,13.828900540733937,16.369515658734272,-2.5406151180003365
New Hampshire,3.306304120049586,2.611599564054159,0.694704555995427
New Jersey,15.085372244873778,13.178995964268376,1.9063762806054017
New Mexico,6.95476469402183,6.455609570045976,0.4991551239758545
New York,20.60477702192344,14.992592188742433,5.612184833181006
North Carolina,15.482586929965576,12.871436956183235,2.611149973782341
North Dakota,1.8658250674608485,3.9571880107668234,-2.091362943305975
Ohio,8.915273980074256,8.369477229563023,0.5457967505112333
Oklahoma,7.8020617899329725,7.582230178182312,0.21983161175066102
Oregon,6.679957355232006,5.5493271231849395,1.130630232047067
Pennsylvania,12.140110492024919,8.971913499426405,3.168196992598512
Rhode Island,10.150187878103438,7.273976206999466,2.8762116711039725
South Carolina,15.887214549216438,14.606855826340958,1.2803587228754805
South Dakota,3.1156230924645514,3.7765548280932655,-0.6609317356287141
Tennessee,14.122623901252252,11.238041610550361,2.8845822907018905
Texas,17.127316452506182,16.088753783246347,1.0385626692598386
Utah,4.107820639266119,3.985704248917629,0.1221163903484908
Vermont,2.6539140633779987,2.320387063996103,0.3335269993818956
Virginia,12.171453048131902,10.815426806722158,1.3560262414097435
Washington,7.609182402691764,6.206431069623967,1.4027513330677965
West Virginia,4.278614085653688,4.165928535451933,0.11268555020175504
Wisconsin,4.310231536932826,3.9950875945013697,0.31514394243145666
Wyoming,3.001826491019419,2.461266659334723,0.5405598316846957
