Name,Unemployment_rate_2008-2012,Unemployment_rate_2013-2018,Unemployment_rate_variance,New HIV Case Rate 2008-2012,New HIV Case Rate 2013-2018,New HIV Case Rate Variance
Alabama,8.959999999999999,5.7,3.259999999999999,14.385351027000294,13.219613392788027,1.165737634212268
Alaska,7.4,6.816666666666666,0.5833333333333339,4.147444256640418,3.996430676115678,0.15101358052474162
Arizona,8.86,5.949999999999999,2.91,9.750056520464213,10.556607024172703,-0.8065505037084891
Arkansas,7.4799999999999995,4.933333333333333,2.546666666666667,8.503143129800662,9.644722066269695,-1.1415789364690347
California,10.559999999999999,6.183333333333334,4.376666666666665,14.223002768454974,12.548216456095492,1.6747863123594822
Colorado,7.419999999999999,4.166666666666667,3.253333333333332,7.839842056666372,7.100390316646222,0.7394517400201517
Connecticut,7.960000000000001,5.666666666666665,2.2933333333333357,9.610172891619552,7.8219537543467474,1.7882191372728038
Delaware,7.260000000000001,5.016666666666667,2.243333333333334,15.067524914813962,11.57904470067941,3.488480214134549
District of Columbia,8.88,6.833333333333335,2.046666666666666,128.54493544159118,52.81388665849494,75.73104878309624
Florida,9.26,5.266666666666667,3.993333333333333,25.878696643254013,22.262966772945386,3.6157298703086176
Georgia,9.2,5.883333333333333,3.3166666666666664,28.87723961483257,24.332116278036644,4.545123336795939
Hawaii,6.24,3.4499999999999997,2.7900000000000005,6.383996207788847,6.283128605561192,0.10086760222765434
Idaho,7.68,4.1499999999999995,3.5300000000000002,2.722348854145841,2.1522701224108003,0.570078731735041
Illinois,9.12,6.183333333333334,2.9366666666666656,13.185447887730335,11.498978376920904,1.6864695108094288
Indiana,8.8,4.983333333333333,3.8166666666666673,7.30166099988608,7.74650049386018,-0.4448394939741008
Iowa,5.42,3.6500000000000004,1.7699999999999996,3.6729847689921997,3.79243360170614,-0.11944883271393952
Kansas,6.16,4.183333333333333,1.9766666666666675,5.002553641640111,4.887018715426613,0.11553492621349586
Kentucky,8.9,5.683333333333333,3.2166666666666677,7.831486248147329,7.899193207065651,-0.06770695891832187
Louisiana,6.92,5.916666666666667,1.003333333333333,24.58555587965221,23.38044226023274,1.2051136194194743
Maine,7.42,4.533333333333333,2.8866666666666667,3.8383267052165584,3.117107786278688,0.7212189189378714
Maryland,6.619999999999999,5.033333333333333,1.586666666666666,28.39232829592084,18.969692662800824,9.422635633120017
Massachusetts,7.18,4.7,2.4799999999999995,10.731295599503463,9.302570496524387,1.4287251029790753
Michigan,10.76,5.8500000000000005,4.909999999999999,7.875873023427249,7.5316760359700945,0.3441969874571534
Minnesota,6.540000000000001,3.849999999999999,2.6900000000000017,6.230111328214381,5.344912802629503,0.8851985255848777
Mississippi,9.1,6.349999999999999,2.750000000000001,16.404745639613484,15.514696411652162,0.8900492279613231
Missouri,8.08,4.8999999999999995,3.1800000000000006,8.979092799547722,7.82251714710585,1.1565756524418702
Montana,6.42,4.333333333333333,2.086666666666667,2.3241536742546645,2.053785507371904,0.2703681668827607
Nebraska,4.18,3.15,1.0299999999999998,5.271988662448615,4.296455608229013,0.975533054219602
Nevada,11.14,6.616666666666667,4.523333333333333,13.828900540733937,16.369515658734272,-2.5406151180003365
New Hampshire,5.359999999999999,3.483333333333333,1.8766666666666665,3.306304120049586,2.6115995640541594,0.694704555995427
New Jersey,8.5,5.75,2.75,15.085372244873776,13.178995964268374,1.9063762806054017
New Mexico,6.94,6.25,0.6900000000000004,6.95476469402183,6.455609570045977,0.4991551239758545
New York,7.82,5.5,2.3200000000000003,20.604777021923443,14.992592188742433,5.612184833181006
North Carolina,9.440000000000001,5.583333333333333,3.8566666666666682,15.482586929965574,12.871436956183233,2.6111499737823407
North Dakota,3.54,2.8000000000000003,0.7399999999999998,1.8658250674608483,3.957188010766824,-2.0913629433059753
Ohio,8.64,5.466666666666668,3.173333333333333,8.915273980074256,8.369477229563023,0.5457967505112333
Oklahoma,5.6000000000000005,4.433333333333333,1.1666666666666679,7.8020617899329725,7.5822301781823125,0.21983161175066104
Oregon,9.34,5.566666666666666,3.7733333333333334,6.679957355232006,5.54932712318494,1.1306302320470671
Pennsylvania,7.5,5.533333333333332,1.9666666666666677,12.14011049202492,8.971913499426405,3.1681969925985114
Rhode Island,10.28,6.116666666666667,4.163333333333332,10.150187878103438,7.273976206999465,2.8762116711039725
South Carolina,9.8,5.466666666666668,4.333333333333333,15.887214549216438,14.606855826340956,1.2803587228754805
South Dakota,4.4,3.25,1.1500000000000004,3.1156230924645514,3.7765548280932655,-0.6609317356287141
Tennessee,8.719999999999999,5.333333333333333,3.386666666666666,14.122623901252252,11.238041610550358,2.8845822907018905
Texas,7.0,4.766666666666667,2.2333333333333334,17.127316452506182,16.088753783246347,1.0385626692598386
Utah,6.159999999999999,3.6333333333333333,2.526666666666666,4.1078206392661185,3.9857042489176293,0.1221163903484908
Vermont,5.58,3.466666666666667,2.1133333333333333,2.6539140633779987,2.3203870639961033,0.3335269993818956
Virginia,6.08,4.366666666666666,1.7133333333333338,12.171453048131902,10.81542680672216,1.3560262414097437
Washington,8.400000000000002,5.533333333333334,2.866666666666668,7.609182402691764,6.206431069623967,1.4027513330677963
West Virginia,7.26,6.116666666666666,1.1433333333333335,4.278614085653688,4.1659285354519335,0.11268555020175505
Wisconsin,7.4,4.500000000000001,2.8999999999999995,4.310231536932826,3.9950875945013697,0.31514394243145666
Wyoming,5.380000000000001,4.45,0.9300000000000006,3.001826491019419,2.461266659334723,0.5405598316846957
