"Date Printed: Sunday, February 9, 2020 10:44:17 PM"
Title: HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.
Diagnosis: HIV data for the year 2018 are preliminary and based on 6 months reporting delay.
Death: Death data based on residence at death.
NA - Not applicable


Geography,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
"Alabama","709","18.3","695","17.8","681","17.1","683","17.1","666","16.6","635","15.7","669","16.5","663","16.3","663","16.2","651","15.9","572","13.9"
"Alaska","39","7.0","21","3.7","35","6.1","24","4.1","28","4.7","23","3.8","38","6.3","25","4.2","37","6.1","34","5.6","20","3.3"
"Arizona","679","13.0","642","12.1","619","11.8","563","10.6","620","11.5","689","12.6","741","13.3","690","12.2","714","12.4","725","12.3","806","13.4"
"Arkansas","238","10.1","280","11.8","234","9.7","241","9.9","247","10.1","262","10.7","312","12.7","273","11.0","312","12.6","287","11.5","281","11.2"
"California","5,719","19.2","5,417","18.0","5,272","17.1","5,044","16.2","5,050","16.1","4,711","14.9","5,169","16.1","5,108","15.8","5,172","15.8","4,766","14.5","4,398","13.3"
"Colorado","451","11.1","370","9.0","419","10.1","363","8.6","371","8.6","312","7.1","378","8.5","377","8.3","423","9.1","442","9.4","409","8.5"
"Connecticut","347","11.8","341","11.6","388","12.9","350","11.6","291","9.6","327","10.7","293","9.6","279","9.1","258","8.4","275","9.0","250","8.2"
"Delaware","153","21.0","150","20.4","123","16.3","114","15.0","137","17.8","109","14.0","115","14.6","103","12.9","112","13.9","126","15.5","91","11.1"
"District of Columbia","1,029","202.6","833","161.4","799","150.5","638","117.8","570","103.1","487","86.3","418","73.0","369","63.4","348","58.9","305","51.1","208","34.6"
"Florida","5,775","37.2","5,034","32.2","4,632","28.9","4,570","28.1","4,375","26.5","4,296","25.7","4,476","26.4","4,571","26.4","4,662","26.4","4,563","25.4","4,683","25.6"
"Georgia","3,158","40.3","2,910","36.7","2,653","33.5","2,662","33.3","2,618","32.3","2,338","28.6","2,380","28.7","2,624","31.2","2,495","29.3","2,564","29.7","2,552","29.2"
"Hawaii","83","7.7","87","8.0","102","8.9","81","7.0","82","7.0","95","8.0","99","8.3","119","10.0","78","6.5","78","6.5","66","5.5"
"Idaho","49","4.0","48","3.9","44","3.5","35","2.8","37","2.9","27","2.1","22","1.7","40","3.0","45","3.3","46","3.3","37","2.6"
"Illinois","1,806","17.1","1,728","16.3","1,657","15.6","1,617","15.2","1,647","15.4","1,582","14.7","1,533","14.2","1,550","14.4","1,483","13.8","1,352","12.6","1,352","12.6"
"Indiana","463","8.8","463","8.8","486","9.1","465","8.7","491","9.1","472","8.7","466","8.5","632","11.5","484","8.8","516","9.3","510","9.1"
"Iowa","95","3.8","123","4.9","114","4.5","112","4.4","116","4.5","120","4.7","94","3.6","124","4.8","133","5.1","124","4.7","116","4.4"
"Kansas","139","6.1","152","6.6","136","5.8","135","5.8","151","6.4","147","6.2","131","5.5","154","6.4","147","6.1","119","5.0","154","6.4"
"Kentucky","355","10.0","344","9.6","331","9.2","310","8.5","360","9.9","354","9.6","344","9.3","341","9.2","337","9.1","365","9.8","360","9.6"
"Louisiana","1,071","29.4","1,172","31.8","1,112","29.8","1,192","31.6","1,020","26.9","1,129","29.6","1,198","31.2","1,098","28.5","1,110","28.7","1,011","26.1","986","25.5"
"Maine","45","4.0","54","4.8","56","4.9","52","4.6","48","4.2","35","3.1","57","5.0","46","4.0","53","4.6","30","2.6","28","2.4"
"Maryland","2,034","43.3","1,678","35.4","1,740","36.0","1,420","29.1","1,326","26.9","1,300","26.2","1,235","24.7","1,176","23.4","1,100","21.8","1,021","20.2","979","19.3"
"Massachusetts","741","13.4","691","12.4","708","12.7","678","12.1","704","12.4","669","11.7","643","11.1","598","10.3","638","10.9","596","10.1","654","11.0"
"Michigan","774","9.3","803","9.6","762","9.2","771","9.3","789","9.5","748","9.0","781","9.3","725","8.6","745","8.9","778","9.2","718","8.5"
"Minnesota","330","7.6","380","8.7","335","7.6","295","6.7","314","7.1","306","6.8","311","6.9","296","6.5","296","6.4","273","5.9","283","6.1"
"Mississippi","517","21.6","497","20.7","452","18.6","525","21.5","443","18.1","470","19.1","474","19.2","506","20.5","425","17.2","427","17.2","479","19.3"
"Missouri","544","11.0","520","10.5","569","11.4","524","10.5","529","10.5","465","9.2","466","9.2","463","9.1","510","10.0","504","9.8","446","8.7"
"Montana","22","2.7","31","3.8","20","2.4","22","2.6","20","2.4","22","2.6","14","1.6","18","2.1","20","2.3","31","3.5","23","2.6"
"Nebraska","97","6.7","108","7.4","115","7.7","79","5.3","82","5.4","79","5.2","88","5.7","79","5.1","76","4.9","88","5.6","79","5.0"
"Nevada","387","18.3","362","16.9","373","16.8","382","17.1","362","15.9","432","18.8","428","18.3","476","19.9","512","21.0","491","19.8","508","20.0"
"New Hampshire","43","3.8","39","3.5","50","4.5","39","3.5","47","4.1","35","3.1","40","3.5","25","2.2","40","3.4","34","2.9","36","3.1"
"New Jersey","1,431","19.9","1,398","19.3","1,348","18.4","1,175","15.9","1,274","17.2","1,208","16.2","1,242","16.7","1,200","16.1","1,196","16.0","1,125","15.0","1,044","13.9"
"New Mexico","152","9.4","160","9.8","147","8.7","138","8.1","117","6.8","141","8.2","133","7.7","135","7.8","144","8.3","136","7.8","121","6.9"
"New York","4,590","28.1","4,175","25.4","3,915","23.9","3,772","22.9","3,520","21.3","3,252","19.6","3,324","20.0","3,051","18.3","2,820","16.9","2,730","16.4","2,470","14.9"
"North Carolina","1,701","22.4","1,577","20.4","1,436","18.1","1,433","17.9","1,230","15.2","1,276","15.6","1,311","15.8","1,327","15.8","1,386","16.3","1,297","15.0","1,200","13.7"
"North Dakota","13","2.4","14","2.6","13","2.3","12","2.1","11","1.9","19","3.2","20","3.3","20","3.2","46","7.4","37","5.9","36","5.8"
"Ohio","1,056","11.0","1,045","10.9","982","10.2","1,042","10.8","1,017","10.5","1,037","10.7","946","9.7","925","9.5","961","9.8","986","10.0","984","10.0"
"Oklahoma","287","9.6","295","9.8","286","9.3","311","10.0","284","9.1","332","10.5","304","9.5","314","9.8","293","9.1","299","9.2","234","7.2"
"Oregon","286","9.1","249","7.8","237","7.4","239","7.3","270","8.2","228","6.9","239","7.1","222","6.5","226","6.5","203","5.8","230","6.5"
"Pennsylvania","1,773","16.7","1,658","15.6","1,480","13.8","1,380","12.8","1,415","13.1","1,292","11.9","1,197","11.0","1,173","10.8","1,131","10.4","1,088","10.0","1,002","9.2"
"Rhode Island","123","13.8","119","13.3","115","12.8","100","11.1","78","8.6","78","8.6","89","9.8","64","7.0","71","7.8","83","9.1","76","8.3"
"South Carolina","709","19.0","759","20.1","767","19.9","741","19.0","700","17.8","707","17.7","763","18.9","667","16.2","746","17.9","711","16.8","719","16.8"
"South Dakota","28","4.2","22","3.3","32","4.8","20","3.0","25","3.7","32","4.6","29","4.2","23","3.3","43","6.1","40","5.6","28","3.9"
"Tennessee","998","19.3","931","17.8","856","16.2","844","15.8","853","15.9","770","14.2","754","13.8","739","13.4","713","12.8","731","13.0","759","13.3"
"Texas","4,171","21.6","4,356","22.2","4,455","22.0","4,280","20.8","4,324","20.6","4,340","20.3","4,417","20.3","4,532","20.4","4,523","20.0","4,358","18.9","4,483","19.2"
"Utah","131","6.3","122","5.7","85","4.0","107","5.0","122","5.6","109","4.9","114","5.0","122","5.3","139","5.9","117","4.8","121","4.9"
"Vermont","18","3.4","18","3.4","20","3.7","13","2.4","14","2.6","13","2.4","17","3.1","14","2.6","5","0.9","20","3.7","18","3.3"
"Virginia","1,067","16.5","980","15.0","994","14.9","897","13.3","934","13.7","944","13.7","901","12.9","955","13.6","906","12.8","865","12.1","867","12.1"
"Washington","523","9.6","526","9.5","538","9.6","479","8.4","496","8.6","444","7.6","439","7.4","451","7.5","425","7.0","433","7.0","503","8.0"
"West Virginia","82","5.3","76","4.9","73","4.6","85","5.4","80","5.1","73","4.6","84","5.3","72","4.6","68","4.3","76","4.9","85","5.5"
"Wisconsin","236","5.0","278","5.9","252","5.3","242","5.1","217","4.5","243","5.1","217","4.5","225","4.6","229","4.7","259","5.3","210","4.3"
"Wyoming","23","5.2","20","4.5","19","4.1","15","3.2","7","1.5","16","3.3","10","2.1","17","3.5","21","4.4","10","2.1","12","2.5"
