"Date Printed: Sunday, February 9, 2020 10:49:54 PM"
Title: HIV viral suppression | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories

NA - Not applicable


Geography,2010,,2011,,2012,,2013,,2014,,2015,,2016,
,Cases,Percent,Cases,Percent,Cases,Percent,Cases,Percent,Cases,Percent,Cases,Percent,Cases,Percent
"Iowa","1,106","58.2","1,253","63.2","1,311","62.8","1,386","64.7","1,659","73.3","1,763","76.7","2,427","78.9"
"Hawaii","913","36.8","1,301","51.5","1,281","50.4","1,419","54.6","1,574","59.9","1,602","61.6","2,530","67.5"
"Illinois","7,571","25.5","11,089","36.0","13,723","43.4","15,958","49.1","16,756","50.4","17,874","52.8","33,938","53.5"
"North Dakota","109","56.5","117","57.6","137","59.1","148","61.7","180","63.6","222","70.0","328","72.6"
"Wyoming","131","52.2","144","59.3","Data not available","Data not available","133","53.2","133","51.2","159","58.0","288","68.4"
"Texas","Data not available","Data not available","32,477","50.5","35,463","52.6","40,996","58.0","45,256","61.2","46,025","59.4","80,232","60.5"
"Missouri","4,636","47.3","4,155","40.7","6,247","59.3","6,596","60.7","7,057","63.8","7,280","63.9","11,551","62.3"
"Indiana","4,321","51.4","4,733","54.1","4,983","55.0","5,629","59.7","5,683","58.2","6,262","62.1","10,420","61.8"
"California","30,721","58.1","55,974","53.0","58,826","54.0","62,378","55.6","71,936","63.2","75,358","64.3","120,666","66.2"
"Michigan","6,067","46.7","6,568","49.1","7,283","52.6","8,097","56.4","8,454","60.1","9,095","65.7","14,501","70.7"
"Louisiana","6,405","42.8","6,856","43.6","7,599","47.1","8,716","51.7","9,891","55.8","10,882","59.3","18,938","62.6"
"District of Columbia","5,940","42.6","6,936","49.1","7,481","50.4","7,760","51.5","7,526","51.6","7,075","50.5","14,115","55.2"
"New York","59,194","49.6","62,142","51.3","67,627","55.0","70,556","56.7","73,653","58.8","75,592","61.3","123,789","62.9"
"New Hampshire","577","54.5","638","58.3","727","65.5","809","70.3","840","71.4","843","70.6","1,131","68.3"
"South Carolina","6,851","51.1","7,928","49.8","8,388","56.2","8,721","58.4","9,327","61.5","9,533","61.5","15,700","61.8"
"West Virginia","680","42.2","768","45.1","806","44.9","660","36.9","914","52.9","915","54.6","1,702","57.5"
"Maryland","Data not available","Data not available","8,366","30.0","11,007","38.6","12,128","41.8","13,620","44.5","15,024","47.9","31,324","54.5"
"Utah","Data not available","Data not available","944","43.4","975","44.0","1,101","45.5","1,171","46.7","1,294","50.8","2,591","51.7"
"Wisconsin","Data not available","Data not available","Data not available","Data not available","2,865","56.3","3,319","59.7","3,558","62.6","3,966","69.7","5,783","69.2"
"Washington","Data not available","Data not available","Data not available","Data not available","7,046","66.2","7,975","71.6","8,342","71.9","8,995","74.9","12,309","76.5"
"Virginia","Data not available","Data not available","Data not available","Data not available","6,710","34.0","7,279","36.3","7,014","34.3","9,065","44.8","20,611","51.8"
"Vermont","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available"
"Tennessee","Data not available","Data not available","Data not available","Data not available","8,253","53.8","8,696","55.3","8,402","55.3","7,957","52.9","15,553","55.0"
"South Dakota","Data not available","Data not available","Data not available","Data not available","157","40.1","171","40.2","184","40.4","209","42.6","483","45.1"
"Rhode Island","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","1,404","63.7","1,631","71.9","2,310","74.9"
"Pennsylvania","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available"
"Oregon","Data not available","Data not available","Data not available","Data not available","3,496","59.8","3,815","64.2","3,664","60.8","3,621","56.8","6,501","56.0"
"Oklahoma","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","5,627","58.7"
"Ohio","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","20,282","51.7"
"North Carolina","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","17,252","61.5","28,743","62.1"
"New Mexico","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","1,959","69.8","2,121","71.5","2,145","69.8","3,126","70.4"
"New Jersey","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available"
"Nevada","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available"
"Nebraska","894","53.6","Data not available","Data not available","1,064","59.3","1,107","60.0","1,004","53.3","1,169","60.2","2,008","63.1"
"Montana","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","417","78.8","433","78.0","566","79.7"
"Mississippi","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","2,855","34.5","3,659","43.1","4,292","49.1","8,905","53.3"
"Minnesota","2,380","38.1","Data not available","Data not available","Data not available","Data not available","4,578","65.0","4,806","66.4","4,894","65.5","7,732","68.1"
"Massachusetts","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","12,262","67.5","12,712","67.9","12,380","65.0","19,364","68.3"
"Maine","Data not available","Data not available","Data not available","Data not available","523","40.8","841","63.6","1,011","73.4","977","68.8","1,454","76.3"
"Kentucky","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available"
"Kansas","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available"
"Idaho","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available"
"Georgia","13,408","35.8","Data not available","Data not available","Data not available","Data not available","22,509","50.7","24,120","53.6","26,746","56.7","48,718","57.1"
"Florida","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","60,984","60.4","103,068","61.8"
"Delaware","410","13.6","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","1,870","60.6","1,964","64.2","3,049","67.3"
"Connecticut","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","6,812","68.6","6,664","66.3","9,912","64.9"
"Colorado","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","5,216","48.7","5,671","51.0","11,765","56.4"
"Arkansas","Data not available","Data not available","Data not available","Data not available","1,228","27.3","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available"
"Arizona","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available","Data not available"
"Alaska","Data not available","Data not available","Data not available","Data not available","375","58.6","412","64.0","426","71.8","472","74.8","654","76.6"
"Alabama","Data not available","Data not available","Data not available","Data not available","5,537","50.3","5,987","52.4","6,577","55.9","6,857","59.4","11,946","61.1"
